,Gene.1,log2fc,pvals_stud,p-values-corr,log10_p,log10_p-corr,marker_symbol,entrez,path,significant
0,1300017J02Rik,0.09791341463414403,0.0014377785667135086,0.004547862524147394,2.842307994801152,2.3421926719320982,1300017J02Rik,71775,path:mmu04066,False
3,1700009N14Rik,0.013491463414631257,0.7294743876148821,0.7975932918254698,0.13698995190321872,0.09821850732357393,1700009N14Rik,75471,path:mmu03008,False
6,1700024P04Rik,0.3341225609756089,2.890561237801443e-16,2.4654454932575983e-14,15.539017825473252,13.608104594527743,1700024P04Rik,69382,path:mmu05034,False
9,1700061G19Rik,0.029779878048781683,0.4639204608653385,0.5672043934707802,0.3335564728251669,0.2462604138392239,1700061G19Rik,78625,path:mmu00061,False
15,1810009J06Rik,0.40992835365853786,1.1440600268273738e-16,1.072126638874494e-14,15.941551188273785,13.969753913042446,1810009J06Rik,73626,path:mmu04080,False
19,2210010C04Rik,-0.02252865853658204,0.8312151109753121,0.8775544893214359,0.08028657017472196,0.0567259077089543,2210010C04Rik,67373,path:mmu04080,False
23,2610002M06Rik,-0.09602378048780302,0.048529864260503805,0.09080894559328996,1.3139909234177996,1.0418713670027029,2610002M06Rik,67028,path:mmu04144,False
25,2610008E11Rik,0.013876829268296477,0.6947239183429773,0.7708759404928809,0.15818774873532634,0.11301550871239507,2610008E11Rik,72128,path:mmu05168,False
26,2810021J22Rik,-0.06849207317072993,0.09555023118468978,0.15937203406292114,1.0197682578280831,0.7975878844311788,2810021J22Rik,69944,path:mmu05168,False
27,4930415L06Rik,-0.278560975609758,3.1886914129562816e-12,9.751411344803979e-11,11.496387507767036,10.010932523285849,4930415L06Rik,245511,path:mmu04922,False
28,4930438A08Rik,-0.041306097560976696,0.2719446589374161,0.3723062027649684,0.5655194664196366,0.4290997282077208,4930438A08Rik,73988,path:mmu00250,False
36,4930444G20Rik,0.1326060975609762,4.554143126025808e-06,2.9736756924872466e-05,5.341593324650507,4.526706397160127,4930444G20Rik,114671,path:mmu03013,False
38,4930544G11Rik,0.25425060975609703,5.245935869430214e-09,7.370765624894978e-08,8.280177022880782,7.132487398247157,4930544G11Rik,67653,path:mmu04014,False
74,4933405O20Rik,0.14685792682926913,0.0008836024385525727,0.0029798394887412386,3.053743094239642,2.5258071288873007,4933405O20Rik,243996,path:mmu00020,False
79,4933425L06Rik,0.26852256097560895,3.4716619782005194e-11,8.422637699334258e-10,10.45946256694853,9.074551880130494,4933425L06Rik,66763,path:mmu00230,False
83,5430419D17Rik,-0.1002006097561008,0.0026874895640675942,0.00782000728030596,2.570653213504862,2.106792842618511,5430419D17Rik,71395,path:mmu04970,False
84,9130019O22Rik,0.1229817073170736,0.003923317277725554,0.010798642727736984,2.4063465691598633,1.9666308271886817,9130019O22Rik,78921,path:mmu05168,False
85,9130409I23Rik,0.3032975609756061,0.0882377170508428,0.1490077766283954,1.0543457367991371,0.8267910654221721,9130409I23Rik,619326,path:mmu00600,False
88,A2m,0.06243719512194978,0.07849004511759157,0.13526678256847766,1.105185421275784,0.8688088399018666,A2m,232345,path:mmu04610,False
89,A3galt2,0.05463597560975497,0.19499603586913333,0.2854477368733257,0.7099742174459962,0.5444733958779069,A3galt2,215493,path:mmu00603,False
91,A430033K04Rik,0.030143902439021982,0.5399541153128711,0.6370163230957714,0.2676431444605625,0.19584943903106306,A430033K04Rik,243308,path:mmu05168,False
