,p_val_binom,p_corr_binom,num_genes,num_sig_genes
path:mmu00010,1.0,1.0,61,0
path:mmu00020,1.0,1.0,31,0
path:mmu00030,1.0,1.0,30,0
path:mmu00040,1.0,1.0,24,0
path:mmu00051,1.0,1.0,33,0
path:mmu00052,1.0,1.0,30,0
path:mmu00053,1.0,1.0,19,0
path:mmu00061,1.0,1.0,14,0
path:mmu00062,1.0,1.0,25,1
path:mmu00071,1.0,1.0,45,0
path:mmu00072,1.0,1.0,11,0
path:mmu00100,1.0,1.0,18,0
path:mmu00120,1.0,1.0,16,0
path:mmu00130,1.0,1.0,11,0
path:mmu00140,1.0,1.0,75,8
path:mmu00190,1.0,1.0,115,1
path:mmu00220,1.0,1.0,19,0
path:mmu00230,1.0,1.0,118,1
path:mmu00232,1.0,1.0,6,0
path:mmu00240,1.0,1.0,54,1
path:mmu00250,1.0,1.0,36,0
path:mmu00260,1.0,1.0,40,0
path:mmu00270,1.0,1.0,45,0
path:mmu00280,1.0,1.0,53,0
path:mmu00290,1.0,1.0,4,0
path:mmu00310,1.0,1.0,42,0
path:mmu00330,1.0,1.0,44,0
path:mmu00340,1.0,1.0,20,0
path:mmu00350,1.0,1.0,35,0
path:mmu00360,1.0,1.0,21,0
path:mmu00380,1.0,1.0,42,0
path:mmu00400,1.0,1.0,7,0
path:mmu00410,1.0,1.0,30,0
path:mmu00430,1.0,1.0,11,1
path:mmu00440,1.0,1.0,5,0
path:mmu00450,1.0,1.0,15,0
path:mmu00471,1.0,1.0,3,0
path:mmu00472,1.0,1.0,1,0
path:mmu00480,1.0,1.0,59,2
path:mmu00500,1.0,1.0,27,1
path:mmu00510,1.0,1.0,48,0
path:mmu00511,1.0,1.0,18,0
path:mmu00512,1.0,1.0,23,0
path:mmu00514,1.0,1.0,15,0
path:mmu00515,1.0,1.0,16,0
path:mmu00520,1.0,1.0,48,0
path:mmu00524,1.0,1.0,5,0
path:mmu00531,1.0,1.0,21,0
path:mmu00532,1.0,1.0,20,0
path:mmu00533,1.0,1.0,14,0
path:mmu00534,1.0,1.0,24,0
path:mmu00561,1.0,1.0,51,1
path:mmu00562,1.0,1.0,73,0
path:mmu00563,1.0,1.0,25,0
path:mmu00564,1.0,1.0,85,0
path:mmu00565,1.0,1.0,42,0
path:mmu00590,1.0,1.0,84,4
path:mmu00591,1.0,1.0,47,5
path:mmu00592,1.0,1.0,25,0
path:mmu00600,1.0,1.0,39,2
path:mmu00601,1.0,1.0,26,0
path:mmu00603,1.0,1.0,16,0
path:mmu00604,1.0,1.0,15,0
path:mmu00620,1.0,1.0,37,0
path:mmu00630,1.0,1.0,28,1
path:mmu00640,1.0,1.0,30,0
path:mmu00650,1.0,1.0,27,0
path:mmu00670,1.0,1.0,18,0
path:mmu00730,1.0,1.0,12,0
path:mmu00740,1.0,1.0,8,0
path:mmu00750,1.0,1.0,8,0
path:mmu00760,1.0,1.0,28,1
path:mmu00770,1.0,1.0,18,1
path:mmu00780,1.0,1.0,3,0
path:mmu00785,1.0,1.0,2,0
path:mmu00790,1.0,1.0,26,0
path:mmu00830,1.0,1.0,76,7
